,departures,arrivals,latitude,longitude,difference
Old Slip & South St,22526,26322,40.70336686695866,-74.007867872715,3796
E 10 St & Avenue A,63756,66806,40.72740794,-73.98142006,3050
St Marks Pl & 2 Ave,57443,60483,40.7284186,-73.98713956,3040
Kent Ave & N 7 St,59415,62298,40.72036775298455,-73.96165072917938,2883
Greenwich St & Hubert St,26885,29455,40.721319,-74.010065,2570
University Pl & E 14 St,97120,99178,40.734814,-73.992085,2058
Washington Square E,52873,54920,40.73049393,-73.9957214,2047
Stanton St & Chrystie St,43400,45381,40.72229346,-73.99147535,1981
Forsyth St & Broome St,30594,32539,40.71893904,-73.99266288,1945
12 Ave & W 40 St,90414,92162,40.76087502,-74.00277668,1748
8 Ave & W 49 St,53617,50653,40.76171227910671,-73.98655101656914,-2964
W 49 St & 8 Ave,52075,49078,40.76227205,-73.98788205,-2997
E 41 St & Madison Ave (SE corner),41703,38424,40.752049,-73.979635,-3279
West End Ave & W 78 St,22870,19489,40.783786,-73.981687,-3381
W 50 St & 10 Ave,48013,44511,40.76473420006519,-73.99194359779358,-3502
Broadway & W 37 St,21334,17619,40.75172632,-73.98753523,-3715
Broadway & W 53 St,48651,44681,40.76344058,-73.98268129,-3970
Broadway & W 58 St,114293,110313,40.76695317,-73.98169333,-3980
Plaza St East & Flatbush Ave,34731,30539,40.673134,-73.969106,-4192
Broadway & W 56 St,53169,47234,40.7652654,-73.98192338,-5935
